#{"t_start": 1624587691.7590997, "env_id": null}
r,l,t
0.050042,999,28.650445
0.071496,999,36.4837
0.090002,999,41.452296
0.163371,999,46.497855
0.246786,999,51.516081
0.241564,999,56.688288
0.227633,999,61.698812
0.257995,999,67.018384
0.295633,999,73.338394
0.336723,999,80.448471
0.282401,999,87.50157
0.384142,999,92.995169
0.340557,999,97.910727
0.36268,999,102.741957
0.3276,999,107.58075
0.401679,999,112.574286
0.381012,999,117.750605
0.41668,999,122.90489
0.365708,999,127.828406
0.402052,999,132.691647
0.43067,999,138.181755
0.35955,999,143.283554
0.36943,999,148.290888
0.381251,999,153.075944
0.384213,999,157.840756
0.360272,999,162.612445
0.307519,999,167.952667
0.265194,999,172.790308
0.413632,999,177.685468
0.367584,999,182.65346
0.358429,999,187.597543
0.334476,999,192.737293
0.33292,999,197.801708
0.363501,999,203.821902
0.329339,999,210.329415
0.365537,999,215.446326
0.315574,999,220.541461
0.395684,999,225.736912
0.363774,999,230.860325
0.373619,999,239.933753
0.334004,999,245.064016
0.332758,999,250.218269
0.287336,999,255.470812
0.29994,999,260.980886
0.343891,999,266.49964
0.256664,999,272.190535
0.290199,999,277.120853
0.309909,999,282.379065
0.379758,999,287.429543
0.349085,999,292.687201
0.252531,999,317.53356
0.293181,999,322.389049
0.350432,999,327.219266
0.267606,999,332.055685
0.354799,999,337.388677
0.25936,999,342.708676
0.324432,999,347.743787
0.332418,999,352.741587
0.336886,999,357.687199
0.347189,999,362.583941
0.271591,999,367.44087
0.341941,999,372.321213
0.358315,999,377.181085
0.306537,999,382.213626
0.300165,999,387.150384
0.342793,999,391.967504
0.309395,999,396.824401
0.357731,999,401.768791
0.267889,999,406.796668
0.368069,999,411.787523
0.381192,999,416.626379
0.335616,999,421.556017
0.332222,999,426.3915
0.310728,999,431.22219
0.344449,999,436.038202
0.388826,999,440.867217
0.372177,999,445.673484
0.336558,999,450.502172
0.363184,999,455.570636
0.314279,999,460.556442
0.334661,999,465.347257
0.31047,999,470.163071
0.407136,999,475.029572
0.351932,999,479.997618
0.304657,999,484.866091
0.271373,999,490.013346
0.298955,999,494.93466
0.300648,999,499.828458
0.30322,999,504.766114
0.300721,999,509.612358
0.357435,999,514.459931
0.266799,999,519.288007
0.274212,999,524.057653
0.345735,999,528.882936
0.259296,999,533.690177
0.309672,999,538.647192
0.258721,999,543.522187
0.291208,999,548.341431
0.261312,999,553.145969
0.317753,999,557.96498
0.340134,999,582.173756
0.315855,999,587.004472
0.325097,999,591.812685
0.30329,999,597.100718
0.318701,999,602.137491
0.433511,999,606.998368
0.281571,999,611.810849
0.269103,999,616.626848
0.264182,999,621.468942
0.305426,999,626.294581
0.289526,999,631.115902
0.289852,999,635.954858
0.291609,999,641.069662
0.341633,999,646.107347
0.378893,999,651.022896
0.308175,999,655.927578
0.273433,999,660.724302
0.309355,999,665.588166
0.300116,999,670.505754
0.330825,999,675.408722
0.350871,999,680.216583
0.297238,999,685.089964
0.334329,999,689.991475
0.314618,999,694.892055
0.276028,999,699.717509
0.272608,999,704.546295
0.273063,999,709.378545
0.296984,999,714.147295
0.307011,999,719.160489
0.316352,999,724.615362
0.311128,999,729.799532
0.291602,999,734.898899
0.260058,999,739.702129
0.293913,999,744.510949
0.27335,999,749.343153
0.261365,999,754.203049
0.342667,999,758.926673
0.422988,999,763.702094
0.257071,999,768.776777
0.313565,999,773.515524
0.316203,999,778.209038
0.364994,999,782.930768
0.278086,999,788.043986
0.321745,999,792.846582
0.305709,999,797.829816
0.309974,999,802.829113
0.376881,999,808.091287
0.3266,999,812.905136
0.286967,999,817.865138
0.318582,999,822.944293
0.332707,999,847.176541
0.395416,999,851.982655
0.312729,999,856.878712
0.294997,999,861.777526
0.287808,999,866.940301
0.300708,999,872.127319
0.307774,999,877.481024
0.286908,999,882.312353
0.424868,999,887.082454
0.340073,999,891.828845
0.344225,999,896.611253
0.309958,999,901.480533
0.303214,999,906.37765
0.293584,999,911.792086
0.28631,999,916.683086
0.295959,999,921.745107
0.296727,999,926.462152
0.334776,999,931.54325
0.366779,999,936.877711
0.352177,999,941.722261
0.292502,999,946.620171
0.305702,999,951.421975
0.383296,999,956.361532
0.32056,999,961.272069
0.281017,999,966.004038
0.395101,999,970.956846
0.326739,999,975.917691
0.321205,999,980.721219
0.331621,999,985.753402
0.39417,999,990.637562
0.341427,999,995.419975
0.290058,999,1000.202732
0.330111,999,1004.978034
0.302546,999,1009.701938
0.281499,999,1015.172589
0.319485,999,1020.402719
0.315333,999,1025.421286
0.39998,999,1030.24752
0.29066,999,1035.259293
0.314801,999,1040.109768
0.286433,999,1044.975282
0.296616,999,1049.80498
0.304804,999,1054.608462
0.28578,999,1059.372366
0.365995,999,1064.049524
0.343322,999,1068.760868
0.277233,999,1073.464606
0.342975,999,1078.328365
0.321561,999,1083.052193
0.360586,999,1087.785124
0.353655,999,1111.43277
0.312757,999,1114.400804
0.342758,999,1117.326045
0.326181,999,1120.259625
0.31548,999,1123.18323
0.349417,999,1126.110126
0.295217,999,1129.044906
0.312973,999,1131.985854
0.308411,999,1134.910924
0.29282,999,1137.848225
0.302734,999,1140.771199
0.341891,999,1143.722732
0.357848,999,1146.681036
0.311283,999,1149.627234
0.291898,999,1152.573274
0.33342,999,1155.510059
0.300193,999,1158.526433
0.278202,999,1161.529057
0.272387,999,1164.55467
0.324754,999,1167.504392
0.311833,999,1170.442109
0.308915,999,1173.383488
0.354784,999,1176.317688
0.298398,999,1179.248547
0.330403,999,1182.180625
0.28173,999,1185.446459
0.316586,999,1188.53889
0.31758,999,1191.580503
0.331587,999,1194.549134
0.315034,999,1197.643196
